,hand_awad_ratio,hand_awad_time,foot_awad_ratio,foot_awad_time,extract_time,case_name,result,cchd_running_time,test_time
0,0.46898263027295284,2.0502769947052,0.49478079331941544,0.06113100051879883,17.984795093536377,A1-N9999,Healthy,0.03475308418273926,2022-06-20-01-38-26.825104
0,0.46898263027295284,4.741254806518555,0.49478079331941544,0.04797005653381348,19.34753918647766,A1-N9999,Healthy,0.08351707458496094,2022-06-20-06-54-34.646540
0,0.46898263027295284,1.645521879196167,0.49478079331941544,0.037225961685180664,9.588699102401733,A1-N9999,Healthy,0.042929887771606445,2022-06-20-07-12-20.209307
0,0.46898263027295284,4.483509063720703,0.49478079331941544,0.10191202163696289,16.63746690750122,A1-N9999,Healthy,0.1479811668395996,2022-06-20-07-14-37.217526
0,0.46898263027295284,2.9817848205566406,0.49478079331941544,0.16912198066711426,15.708234071731567,A1-N9999,Healthy,0.1593170166015625,2022-06-20-07-17-51.754929
0,0.46898263027295284,0.9039738178253174,0.49478079331941544,0.08469200134277344,12.888329982757568,A1-N9999,Healthy,0.12804508209228516,2022-06-20-07-18-50.342525
0,0.46898263027295284,1.7620079517364502,0.49478079331941544,0.23426103591918945,14.163490056991577,A1-N9999,Healthy,0.10492992401123047,2022-06-20-07-22-44.247203
0,0.46898263027295284,3.2537660598754883,0.49478079331941544,0.2673201560974121,15.61286997795105,A1-N9999,Healthy,0.09757423400878906,2022-06-20-23-13-04.190695
0,0.46898263027295284,0.4391050338745117,0.49478079331941544,0.04612612724304199,10.637233018875122,A1-N9999,Healthy,0.04537224769592285,2022-06-22-23-33-36.236971
0,0.46898263027295284,4.186462879180908,0.49478079331941544,0.17645883560180664,18.600918769836426,A1-N9999,Healthy,0.13605189323425293,2022-06-23-00-06-18.795709
0,0.46898263027295284,6.405591011047363,0.49478079331941544,0.04843902587890625,19.78803300857544,A1-N9999,Healthy,0.03775596618652344,2022-06-23-01-21-00.484026
0,0.46898263027295284,2.5653131008148193,0.49478079331941544,0.18179798126220703,15.481245756149292,A1-N9999,Healthy,0.06825804710388184,2022-06-23-01-57-04.782867
0,0.46898263027295284,5.315677881240845,0.49478079331941544,0.3423306941986084,19.189939975738525,A1-N9999,Healthy,0.10289883613586426,2022-06-23-01-58-58.503426
0,0.46898263027295284,3.9111719131469727,0.49478079331941544,0.2086629867553711,17.62716007232666,A1-N9999,Healthy,0.03607296943664551,2022-06-23-02-29-11.643243
0,0.46898263027295284,3.8662071228027344,0.49478079331941544,0.1643078327178955,16.118016004562378,A1-N9999,Healthy,0.028905868530273438,2022-06-23-02-34-03.252410
0,0.46898263027295284,0.2397749423980713,0.49478079331941544,0.23891687393188477,12.14889121055603,A1-N9999,Healthy,0.03667497634887695,2022-06-23-02-35-38.852253
0,0.46898263027295284,3.1924657821655273,0.49478079331941544,0.03118586540222168,13.228953123092651,A1-N9999,Healthy,0.035373687744140625,2022-06-23-02-37-09.273751
0,0.46898263027295284,1.0494818687438965,0.49478079331941544,0.0699927806854248,13.101638793945312,A1-N9999,Healthy,0.0276949405670166,2022-06-23-02-39-02.538146
